Training | Reason: possible_proper_noun | Context: Training zur Prüfung Goethe-Zertifikat...
war | Reason: stop_word | Context: die einzige Möglichkeit war Karriere zu machen...
ein | Reason: stop_word | Context: Werkstatt der Reichtum ein teilen christlich das...
Sicht | Reason: possible_proper_noun | Context: en paradox aus Sicht GEN frustrierend gesundheitsförderlich...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Studie | Reason: possible_proper_noun | Context: Ein Junge unserer Studie der ein Jahr...
Männern | Reason: possible_proper_noun | Context: mit gutgestellten weißen Männern durchzuführen Bei der...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Teilnehmer | Reason: possible_proper_noun | Context: es sich um Teilnehmer die ursprünglich Teil...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Teil | Reason: possible_proper_noun | Context: Werkstatt Test Lesen Teil S der Tabak...
Studie | Reason: possible_proper_noun | Context: Ein Junge unserer Studie der ein Jahr...
über | Reason: stop_word | Context: das Produktionsmittel verfügen über das Kapital e...
Jugendkriminalität | Reason: possible_proper_noun | Context: einer Studie über Jugendkriminalität waren Die beiden...
Die | Reason: stop_word | Context: Ausgabe unseres Podcasts Die Roman-Ecke Heute stellen...
Studien | Reason: possible_proper_noun | Context: hochgestochen zwanglos soziologische Studien Pl der Soziologe...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Und | Reason: stop_word | Context: häusliche Gewalt ein Und damit sind wir...
haben | Reason: stop_word | Context: nen es schwer haben die Vielfalt die...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
Waldinger | Reason: possible_proper_noun | Context: wir Professor Robert Waldinger eingeladen Waldinger Guten...
Das | Reason: stop_word | Context: im Norden an Das Flüstern der Bäume...
Offensichtliche | Reason: possible_proper_noun | Context: Waldinger Das wohl Offensichtliche ist dass es...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
Ernährung | Reason: possible_proper_noun | Context: Präzisionsernährung auch personalisierte Ernährung genannt versteht man...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
Alkohol | Reason: possible_proper_noun | Context: dem Verzicht auf Alkohol und Zigaretten für...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Zigaretten | Reason: possible_proper_noun | Context: auf Alkohol und Zigaretten für körperliche Gesundheit...
Gesundheit | Reason: possible_proper_noun | Context: diverse Fitness und Gesundheit sinfluencer von Tests...
Aber | Reason: stop_word | Context: und Gegenleistung Moderatorin Aber wie sieht es...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Person | Reason: possible_proper_noun | Context: die kontaktiert e Person wert schätzen der...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Maße | Reason: possible_proper_noun | Context: einem so großen Maße relevant ist dass...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
sie | Reason: stop_word | Context: egla wie man sie dreht und wendet...
kann | Reason: stop_word | Context: Sprenger Das Managen kann man lernen Das...
oder | Reason: stop_word | Context: setzung lesen und oder hören können Wir...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
Bezie | Reason: possible_proper_noun | Context: Hypothese zurück dass Bezie hungen Stress regulieren...
Stress | Reason: possible_proper_noun | Context: Beispiel wie viel Stress wir haben wie...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Waldinger | Reason: possible_proper_noun | Context: wir Professor Robert Waldinger eingeladen Waldinger Guten...
Wenn | Reason: stop_word | Context: Problem angehen Moderatorin Wenn der größte Fehler...
ich | Reason: stop_word | Context: Nachmittag Heute begrüße ich im Studio Herrn...
Arbeitstages | Reason: possible_proper_noun | Context: mich während meines Arbeitstages beispielsweise stark ärgere...
mein | Reason: stop_word | Context: stark ärgere schaltet mein Körper in einen...
oder | Reason: stop_word | Context: setzung lesen und oder hören können Wir...
Fliehen | Reason: possible_proper_noun | Context: einen Kämpfen oder Fliehen Modus ich kann...
ich | Reason: stop_word | Context: Nachmittag Heute begrüße ich im Studio Herrn...
kann | Reason: stop_word | Context: Sprenger Das Managen kann man lernen Das...
Kampf | Reason: possible_proper_noun | Context: nicht nur Kyas Kampf um Anerken nung...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Flucht | Reason: possible_proper_noun | Context: zwischen Kampf und Flucht entscheiden wodurch Puls...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Die | Reason: stop_word | Context: Ausgabe unseres Podcasts Die Roman-Ecke Heute stellen...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
sie | Reason: stop_word | Context: egla wie man sie dreht und wendet...
aber | Reason: stop_word | Context: Der Baum dient aber nicht nur als...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Praxis | Reason: possible_proper_noun | Context: Lesen Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Werkstatt | Reason: possible_proper_noun | Context: FaD galrevlaizepS sixarP Werkstatt Glossar Modul Lesen...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
kann | Reason: stop_word | Context: Sprenger Das Managen kann man lernen Das...
ein | Reason: stop_word | Context: Werkstatt der Reichtum ein teilen christlich das...
über | Reason: stop_word | Context: das Produktionsmittel verfügen über das Kapital e...
Entspan | Reason: possible_proper_noun | Context: Frust spricht für Entspan nung sorgen Wer...
Gegenzug | Reason: possible_proper_noun | Context: sorgen Wer im Gegenzug niemanden hat um...
hat | Reason: stop_word | Context: zustimmend Welche Gründe hat Ihrer Ansicht nach...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Beziehung | Reason: possible_proper_noun | Context: was eine gute Beziehung ausmacht Waldinger Es...
Waldinger | Reason: possible_proper_noun | Context: wir Professor Robert Waldinger eingeladen Waldinger Guten...
Elemente | Reason: possible_proper_noun | Context: Es gibt viele Elemente Die engsten Beziehungen...
Die | Reason: stop_word | Context: Ausgabe unseres Podcasts Die Roman-Ecke Heute stellen...
haben | Reason: stop_word | Context: nen es schwer haben die Vielfalt die...
Sicherheit | Reason: possible_proper_noun | Context: Chef Tatsache ist Sicherheit und Fürsorge seitens...
Wir | Reason: stop_word | Context: oder hören können Wir fangen hoch oben...
ein | Reason: stop_word | Context: Werkstatt der Reichtum ein teilen christlich das...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Bindungssicherheit | Reason: possible_proper_noun | Context: Merkmal das wir Bindungssicherheit nennen Die Teilnehmer...
Die | Reason: stop_word | Context: Ausgabe unseres Podcasts Die Roman-Ecke Heute stellen...
Teilnehmer | Reason: possible_proper_noun | Context: es sich um Teilnehmer die ursprünglich Teil...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
wenn | Reason: stop_word | Context: machen Moderatorin Und wenn dabei über Verbesserungsmöglichkeiten...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
wenn | Reason: stop_word | Context: machen Moderatorin Und wenn dabei über Verbesserungsmöglichkeiten...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
oder | Reason: stop_word | Context: setzung lesen und oder hören können Wir...
Angst | Reason: possible_proper_noun | Context: krank sind oder Angst haben Manche Studienteilnehmer...
haben | Reason: stop_word | Context: nen es schwer haben die Vielfalt die...
Studienteilnehmer | Reason: possible_proper_noun | Context: Angst haben Manche Studienteilnehmer geben eine ganze...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Liste | Reason: possible_proper_noun | Context: geben eine ganze Liste von Personen an...
Personen | Reason: possible_proper_noun | Context: DaF Werkstatt Transkriptionen Personen vorgestellt auf deren...
sie | Reason: stop_word | Context: egla wie man sie dreht und wendet...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
Aber | Reason: stop_word | Context: und Gegenleistung Moderatorin Aber wie sieht es...
sie | Reason: stop_word | Context: egla wie man sie dreht und wendet...
Partnerin | Reason: possible_proper_noun | Context: sie schreiben ihre Partnerin ihren Partner nicht...
Partner | Reason: possible_proper_noun | Context: sich Schimpansen ihre Partner für die notwendige...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
Beispiel | Reason: possible_proper_noun | Context: mehr als abschreckendes Beispiel Moderator Klingt schon...
weil | Reason: stop_word | Context: nicht vorwerfen sollte weil Personalverantwortung früher die...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Beziehung | Reason: possible_proper_noun | Context: was eine gute Beziehung ausmacht Waldinger Es...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
Wir | Reason: stop_word | Context: oder hören können Wir fangen hoch oben...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Person | Reason: possible_proper_noun | Context: die kontaktiert e Person wert schätzen der...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Aufmerksamkeit | Reason: possible_proper_noun | Context: n die kleine Aufmerksamkeit ein schätzen die...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
Waldinger | Reason: possible_proper_noun | Context: wir Professor Robert Waldinger eingeladen Waldinger Guten...
Auf | Reason: stop_word | Context: unserer Sendung angelangt Auf Wiederhören bis zur...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Entwicklung | Reason: possible_proper_noun | Context: die in ihrer Entwicklung sozusagen stehen bleiben...
hat | Reason: stop_word | Context: zustimmend Welche Gründe hat Ihrer Ansicht nach...
Bildschirmen | Reason: possible_proper_noun | Context: Entwicklung hat mit Bildschirmen zu tun denen...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Jahren | Reason: possible_proper_noun | Context: in zwei drei Jahren noch Oder sitzt...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Jahren | Reason: possible_proper_noun | Context: in zwei drei Jahren noch Oder sitzt...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Aufmerksamkeit | Reason: possible_proper_noun | Context: n die kleine Aufmerksamkeit ein schätzen die...
Der | Reason: stop_word | Context: zurück zum Ausgangspunkt Der Baum dient aber...
Aufmerksamkeit | Reason: possible_proper_noun | Context: n die kleine Aufmerksamkeit ein schätzen die...
hat | Reason: stop_word | Context: zustimmend Welche Gründe hat Ihrer Ansicht nach...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
Leute | Reason: possible_proper_noun | Context: sind die jungen Leute genauso schnell weg...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Geld | Reason: possible_proper_noun | Context: sich leisten können Geld für vermeintlich einfache...
Waldinger | Reason: possible_proper_noun | Context: wir Professor Robert Waldinger eingeladen Waldinger Guten...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Bedürfnisse | Reason: possible_proper_noun | Context: weggearbeitet die eigenen Bedürfnisse hintenangestellt Moderator Wäre...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Studie | Reason: possible_proper_noun | Context: Ein Junge unserer Studie der ein Jahr...
Dollar | Reason: possible_proper_noun | Context: men von etwa Dollar pro Jahr steigt...
Jahr | Reason: possible_proper_noun | Context: am Ende im Jahr wird rückwärts bis...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Glück | Reason: possible_proper_noun | Context: mit dem Thema Glück befasst Worum geht...
weil | Reason: stop_word | Context: nicht vorwerfen sollte weil Personalverantwortung früher die...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Geld | Reason: possible_proper_noun | Context: sich leisten können Geld für vermeintlich einfache...
wird | Reason: stop_word | Context: Ende im Jahr wird rückwärts bis zum...
Aber | Reason: stop_word | Context: und Gegenleistung Moderatorin Aber wie sieht es...
über | Reason: stop_word | Context: das Produktionsmittel verfügen über das Kapital e...
Dollar | Reason: possible_proper_noun | Context: men von etwa Dollar pro Jahr steigt...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Glück | Reason: possible_proper_noun | Context: mit dem Thema Glück befasst Worum geht...
denn | Reason: stop_word | Context: Verlauf es sei denn aus kommen der...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Dinge | Reason: possible_proper_noun | Context: Museum der Unerhörten Dinge in Berlin Schöneberg...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Leuten | Reason: possible_proper_noun | Context: den jun gen Leuten die auf alles...
Kontakt | Reason: possible_proper_noun | Context: neuen Sprache in Kontakt kommt kann es...
sein | Reason: stop_word | Context: Langzeitgedächtnis unbegrenzt beteiligt sein an DAT die...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Test | Reason: possible_proper_noun | Context: Spezialverlag DaF Werkstatt Test Lesen Teil S...
Teil | Reason: possible_proper_noun | Context: Werkstatt Test Lesen Teil S der Tabak...
HÖRTEXT | Reason: possible_proper_noun | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Hallo | Reason: stop_word | Context: Gäste Guten Abend Hallo Moderator Herr Böck...
Hörerinnen | Reason: possible_proper_noun | Context: S HÖRTEXT Liebe Hörerinnen und Hörer willkommen...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Hörer | Reason: possible_proper_noun | Context: Liebe Hörerinnen und Hörer willkommen zur neuen...
Lebensaspekte | Reason: possible_proper_noun | Context: Hörer willkommen in Lebensaspekte Unser Thema heute...
Unser | Reason: stop_word | Context: zusammen mit Freunden Unser erster Titel Die...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
Wie | Reason: stop_word | Context: und ziellos sind Wie ge nau äußert...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Gast | Reason: possible_proper_noun | Context: Mütter zusammenhängen Zu Gast bei uns die...
Studio | Reason: possible_proper_noun | Context: begrüße ich im Studio Herrn Reinhard K...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Lea | Reason: possible_proper_noun | Context: im Studio Frau Lea Schmidt Zukunftsforscherin und...
Schmidt | Reason: possible_proper_noun | Context: Studio Frau Lea Schmidt Zukunftsforscherin und Leiterin...
Zukunftsforscherin | Reason: possible_proper_noun | Context: Frau Lea Schmidt Zukunftsforscherin und Leiterin des...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Leiterin | Reason: possible_proper_noun | Context: Schmidt Zukunftsforscherin und Leiterin des Instituts für...
Futurologie | Reason: possible_proper_noun | Context: des Instituts für Futurologie in Krakau und...
Krakau | Reason: possible_proper_noun | Context: für Futurologie in Krakau und Herr Alexan...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Alexan | Reason: possible_proper_noun | Context: Krakau und Herr Alexan der Kühne Mathematiker...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Mathematiker | Reason: possible_proper_noun | Context: Alexan der Kühne Mathematiker und Spieleentwickler Beide...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Spieleentwickler | Reason: possible_proper_noun | Context: Kühne Mathematiker und Spieleentwickler Beide Gäste Guten...
Gäste | Reason: possible_proper_noun | Context: aus Darmstadt Beide Gäste Guten Abend Hallo...
Abend | Reason: possible_proper_noun | Context: HÖRTEXT Moderator Guten Abend liebe Hörerinnen und...
Hallo | Reason: stop_word | Context: Gäste Guten Abend Hallo Moderator Herr Böck...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Schmidt | Reason: possible_proper_noun | Context: Studio Frau Lea Schmidt Zukunftsforscherin und Leiterin...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Schmidt | Reason: possible_proper_noun | Context: Studio Frau Lea Schmidt Zukunftsforscherin und Leiterin...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Zukunftsforscher | Reason: possible_proper_noun | Context: Emotion die uns Zukunftsforscher antreibt ist die...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Wir | Reason: stop_word | Context: oder hören können Wir fangen hoch oben...
Welten | Reason: possible_proper_noun | Context: sen uns in Welten versetzen die es...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
wird | Reason: stop_word | Context: Ende im Jahr wird rückwärts bis zum...
wenn | Reason: stop_word | Context: machen Moderatorin Und wenn dabei über Verbesserungsmöglichkeiten...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Einfluss | Reason: possible_proper_noun | Context: sechs Folgen welchen Einfluss die Wissenschaft auf...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
Mensch | Reason: possible_proper_noun | Context: Ernährungsempfeh lungen Jeder Mensch braucht stattdessen ganz...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
haben | Reason: stop_word | Context: nen es schwer haben die Vielfalt die...
kann | Reason: stop_word | Context: Sprenger Das Managen kann man lernen Das...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
Bedrohungen | Reason: possible_proper_noun | Context: uns besser auf Bedrohungen vorbereiten FaD galrevlaizepS...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Werkstatt | Reason: possible_proper_noun | Context: FaD galrevlaizepS sixarP Werkstatt Glossar Modul Lesen...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
Mathematiker | Reason: possible_proper_noun | Context: Alexan der Kühne Mathematiker und Spieleentwickler Beide...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Spieleentwickler | Reason: possible_proper_noun | Context: Kühne Mathematiker und Spieleentwickler Beide Gäste Guten...
Wie | Reason: stop_word | Context: und ziellos sind Wie ge nau äußert...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Jobs | Reason: possible_proper_noun | Context: sich die beiden Jobs Herr Kühne Spiele...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Spiele | Reason: possible_proper_noun | Context: Jobs Herr Kühne Spiele sind eine gute...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Möglichkeit | Reason: possible_proper_noun | Context: früher die einzige Möglichkeit war Karriere zu...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Gegenwart | Reason: possible_proper_noun | Context: eine Alternative zur Gegenwart mit ihren festge...
Strukturen | Reason: possible_proper_noun | Context: Bürokratie eindämmt verkrustete Strukturen aufbricht und komplexe...
Ich | Reason: stop_word | Context: können verheerend sein Ich habe Bekannte in...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
Entwicklung | Reason: possible_proper_noun | Context: die in ihrer Entwicklung sozusagen stehen bleiben...
Simulations | Reason: possible_proper_noun | Context: die Entwicklung sozialer Simulations spiele spezialisiert mit...
Teilnehmerinnen | Reason: possible_proper_noun | Context: mit bis zu Teilnehmerinnen und Teilnehmern in...
und | Reason: stop_word | Context: industrielle Revolution nach und nach das Produktionsmittel...
Teilnehmern | Reason: possible_proper_noun | Context: Von den ursprünglichen Teilnehmern sind heute noch...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Lösungen | Reason: possible_proper_noun | Context: Lymperopoulou Transkriptionen ohne Lösungen Praxis Spezialverlag DaF...
Herausforderungen | Reason: possible_proper_noun | Context: für große globale Herausforderungen suchen Wie bei...
Wie | Reason: stop_word | Context: und ziellos sind Wie ge nau äußert...
ich | Reason: stop_word | Context: Nachmittag Heute begrüße ich im Studio Herrn...
eine | Reason: stop_word | Context: AKK rebelieren brav eine Leistung erbringen bezweifeln...
Simulation | Reason: possible_proper_noun | Context: für eine solche Simulation nötigen Informati on...
Informati | Reason: possible_proper_noun | Context: solche Simulation nötigen Informati on zu einer...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Sie | Reason: stop_word | Context: Autoren vor die Sie in deutscher Über...
Simulationen | Reason: possible_proper_noun | Context: sich von solchen Simulationen Herr Kühne Wir...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Wir | Reason: stop_word | Context: oder hören können Wir fangen hoch oben...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Verhalten | Reason: possible_proper_noun | Context: damit das zukünftige Verhalten von Menschen obwohl...
das | Reason: stop_word | Context: die Auswertung en das Erhebungsjahr e diesjährig...
Verhalten | Reason: possible_proper_noun | Context: damit das zukünftige Verhalten von Menschen obwohl...
ist | Reason: stop_word | Context: gemeinsame Verbindungsele ment ist Die Geschichte ist...
sondern | Reason: stop_word | Context: Nähe ihrer Hütte sondern geht auch auf...
die | Reason: stop_word | Context: der Tabak töten die Raucherquote n die...
wie | Reason: stop_word | Context: schmelzen desolat beklagen wie folgt gehoben das...
sie | Reason: stop_word | Context: egla wie man sie dreht und wendet...
ein | Reason: stop_word | Context: Werkstatt der Reichtum ein teilen christlich das...
der | Reason: stop_word | Context: Lesen Teil S der Tabak töten die...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
ihr | Reason: stop_word | Context: ihre Seele und ihr Überleben zu kämpfen...
Arbeit | Reason: possible_proper_noun | Context: Kiara versucht verzweifelt Arbeit zu finden doch...
hat | Reason: stop_word | Context: zustimmend Welche Gründe hat Ihrer Ansicht nach...
dass | Reason: stop_word | Context: allmählich versteht man dass vieles aus der...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
auf | Reason: stop_word | Context: betreffen in Bezug auf AKK der Tabakkonzern...
Erfahrungen | Reason: possible_proper_noun | Context: auf grund unserer Erfahrungen ausgesprochen gut darin...
sind | Reason: stop_word | Context: die Gründe dafür sind Unsere zweite Empfehlung...
wie | Reason: stop_word | Context: schmelzen desolat beklagen wie folgt gehoben das...
wir | Reason: stop_word | Context: Roman-Ecke Heute stellen wir Ihnen drei Romane...
Situation | Reason: possible_proper_noun | Context: in einer besonderen Situation verhalten würden zum...
Beispiel | Reason: possible_proper_noun | Context: mehr als abschreckendes Beispiel Moderator Klingt schon...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
